participant_id,group,task_id,trustworthiness_likert (1-5),clarity_likert (1-5),review_time_seconds,bug_identified (1=yes, 0=no)
1,baseline,1,3,,600,1
1,ec_system,2,4,4,420,1
2,baseline,1,2,,750,0
2,ec_system,2,5,4,550,1
3,baseline,1,4,,580,1
3,ec_system,2,4,5,400,1
4,baseline,1,2,,800,0
4,ec_system,2,4,3,610,1
5,baseline,1,3,,650,1
5,ec_system,2,5,4,450,1
6,baseline,1,3,,710,1
6,ec_system,2,4,4,520,1
7,baseline,1,2,,900,0
7,ec_system,2,4,4,650,1
8,baseline,1,4,,550,1
8,ec_system,2,3,4,380,1
9,baseline,1,3,,690,1
9,ec_system,2,5,5,480,1
10,baseline,1,2,,850,0
10,ec_system,2,4,4,600,1
11,baseline,1,3,,720,1
11,ec_system,2,4,4,530,1
12,baseline,1,2,,880,0
12,ec_system,2,5,5,620,1
13,baseline,1,4,,610,1
13,ec_system,2,4,4,430,1
14,baseline,1,2,,780,1
14,ec_system,2,4,3,580,1
15,baseline,1,3,,660,0
15,ec_system,2,4,4,460,1
16,baseline,1,3,,700,1
16,ec_system,2,5,4,500,1
17,baseline,1,2,,820,1
17,ec_system,2,3,3,630,0
18,baseline,1,4,,590,1
18,ec_system,2,5,5,410,1
19,baseline,1,3,,670,0
19,ec_system,2,4,4,490,1
20,baseline,1,2,,910,1
20,ec_system,2,4,4,680,1
